番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
工作细胞 第二季,9.7,61806989,8925658,512582,15117,漫画改|搞笑|战斗|日常,1
关于我转生变成史莱姆这档事 转生史莱姆日记,9.2,9456156,8518130,5030,198,漫画改|日常|搞笑|穿越,1
工作细胞,9.6,209835962,8925662,4418148,69906,搞笑|战斗|日常|声控,1
辉夜大小姐想让我告白？～天才们的恋爱头脑战～,9.8,174081414,7791749,3545782,199762,搞笑|校园|恋爱|漫画改,1
小林家的龙女仆,9.7,252606637,6868970,5382941,47721,萌系|搞笑|日常|漫画改,1
埃罗芒阿老师,9.2,195297542,6610577,9242148,56363,小说改|搞笑|恋爱,0
辉夜大小姐想让我告白～天才们的恋爱头脑战～,9.8,226757784,7791751,4579418,219758,恋爱|校园|智斗|日常,1
在下坂本，有何贵干？,9.3,191583793,5279548,3123204,31548,搞笑|校园|日常,1
徒然喜欢你,9.7,132675647,5051608,2871961,43516,恋爱|校园|漫画改|搞笑,0
Re：从零开始的异世界生活 Memory Snow(雪之回忆),9.7,12191810,8647317,225150,12546,小说改|穿越|奇幻|日常,1
干物妹！小埋R,9.4,130704384,6733380,3603897,36678,萌系|搞笑|日常|漫画改,1
这个勇者明明超强却过分慎重,9.7,146942873,4548540,1427337,122701,小说改|穿越|奇幻|战斗,1
齐木楠雄的灾难 始动篇,9.8,24348480,4460596,183043,36297,漫画改|奇幻|日常|搞笑,1
中二病也要谈恋爱！,9.7,21155305,4399823,399880,29714,恋爱|校园|小说改|搞笑,1
食戟之灵 餐之皿,9.4,9627693,3573926,64901,2515,校园|美食|搞笑|热血,1
笨女孩,9.2,107508934,3367702,2110323,28334,搞笑|校园|漫画改,0
地缚少年花子君,9.4,65007880,3337626,1616775,68825,漫画改|搞笑|少女|奇幻,1
月刊少女野崎君,9.8,33772160,3175617,645368,46716,搞笑|校园|少女|漫画改,0
天使降临到我身边,9.8,64827897,3164933,1992593,53321,日常|治愈|漫画改|萌系,1
碧蓝之海,9.9,96425872,3145971,889311,97960,搞笑|校园|社团|运动,1
转生成为了只有乙女游戏破灭Flag的邪恶大小姐,9.5,78827139,2864723,1546137,74348,穿越|搞笑|恋爱|乙女,1
阿宅的恋爱真难,9.6,62272240,2782589,1120144,30078,搞笑|恋爱|日常|漫画改,1
日常,9.9,30915131,2782348,480893,47993,萌系|搞笑|日常|漫画改,1
文豪野犬 汪！,9.8,14989657,3030706,182289,7240,漫画改|日常|搞笑,1
超能力女儿,9.6,81032555,2686057,940044,38627,搞笑|日常|漫画改,0
男子高中生的日常,9.8,45421766,2574804,1632916,33232,搞笑|校园|日常|漫画改,0
女高中生的虚度日常,9.8,56408958,2504259,1031670,66724,日常|漫画改|校园|搞笑,1
在魔王城说晚安,9.7,51758384,2459129,385425,41900,漫画改|奇幻|治愈|搞笑,1
